File,Extension,Size(KB),Last Modified
project_reference\new_project_scope.md,.md,8.48,2026-08-05 12:06:05
project_reference\new_scope_highlevel.md,.md,1.8,2026-08-05 12:53:08
project_reference\new_timeline.md,.md,7.44,2026-08-11 17:19:43
project_reference\Project_File_Inventory.csv,.csv,8.97,2026-09-01 11:43:38
project_reference\project_metadata.yaml,.yaml,0.39,2026-07-01 18:59:15
project_reference\Project_Structure.md,.md,7.57,2026-09-09 11:17:55
project_reference\Project_Structure1.md,.md,1.64,2026-07-01 18:32:28
project_reference\Project_Structure2.md,.md,2.23,2026-07-20 18:49:54
project_reference\Project_Structure_work.md,.md,2.05,2026-08-17 14:16:18
project_reference\ref.txt,.txt,0.82,2026-08-18 11:36:51
python tools\project_reference\Project_File_Inventory.csv,.csv,0.16,2026-08-17 14:13:52
python tools\project_reference\Project_Structure.md,.md,0.16,2026-08-17 14:13:52
project_reference\fresh start\current_status.md,.md,0.79,2026-08-08 11:09:47
project_reference\fresh start\master flow.md,.md,1.55,2026-08-07 19:23:51
project_reference\fresh start\new_hybrid_mvp_full.md,.md,6.07,2026-08-11 17:19:43
project_reference\project_reference\Project_File_Inventory.csv,.csv,1.22,2026-09-01 11:43:42
project_reference\project_reference\Project_Structure.md,.md,0.83,2026-09-01 11:43:42
portal\public\favicon.svg,.svg,9.3,2026-08-17 18:30:36
portal\public\icons.svg,.svg,4.91,2026-08-17 18:30:36
portal\src\App.css,.css,2.82,2026-08-17 18:30:36
portal\src\App.tsx,.tsx,0.17,2026-08-17 19:47:46
portal\src\index.css,.css,12.49,2026-08-31 16:28:14
portal\src\main.tsx,.tsx,0.22,2026-08-17 18:30:36
portal\src\api\auditApi.ts,.ts,0.33,2026-08-31 16:03:07
portal\src\api\client.ts,.ts,0.13,2026-08-18 15:37:48
portal\src\api\dashboardApi.ts,.ts,0.17,2026-08-18 17:49:48
portal\src\api\jobDetailsApi.ts,.ts,0.37,2026-08-18 17:49:34
portal\src\api\jobsApi.ts,.ts,0.14,2026-08-18 16:13:17
portal\src\assets\hero.png,.png,12.75,2026-08-17 18:30:36
portal\src\assets\react.svg,.svg,4.03,2026-08-17 18:30:36
portal\src\assets\vite.svg,.svg,8.5,2026-08-17 18:30:36
portal\src\auth\auth.ts,.ts,0.3,2026-08-31 16:11:57
portal\src\pages\AuditLog.tsx,.tsx,5.06,2026-08-31 16:03:32
portal\src\pages\Catalogue.tsx,.tsx,17.13,2026-09-01 15:42:06
portal\src\pages\Dashboard.tsx,.tsx,1.71,2026-08-31 15:39:38
portal\src\pages\JobDetails.tsx,.tsx,9.27,2026-08-31 19:06:08
portal\src\pages\Jobs.tsx,.tsx,1.92,2026-08-31 15:39:49
portal\src\pages\Login.tsx,.tsx,2.28,2026-08-31 16:24:24
portal\src\pages\NewJobRequest.tsx,.tsx,8.12,2026-08-31 19:55:52
portal\src\routes\routes.tsx,.tsx,1.32,2026-08-31 19:43:56
portal\src\types\dashboard.ts,.ts,0.15,2026-08-17 19:57:40
portal\src\types\job.ts,.ts,0.43,2026-08-18 17:04:43
portal\src\components\layout\AdminLayout.tsx,.tsx,0.38,2026-08-31 16:23:46
portal\src\components\layout\Breadcrumbs.tsx,.tsx,0.85,2026-08-31 16:27:51
portal\src\components\layout\Sidebar.tsx,.tsx,1.65,2026-08-31 17:23:25
portal\src\components\layout\Topbar.tsx,.tsx,1.11,2026-08-31 16:24:11
portal\src\components\status\StatusBadge.tsx,.tsx,0.62,2026-08-31 15:38:56
backup\phase3\.env,,0.47,2026-08-30 16:22:32
backup\phase3\docker-compose.yml,.yml,2.07,2026-08-28 16:28:41
backup\phase3\Dockerfile,,0.22,2026-07-15 15:44:29
backup\phase3\phase3_software_install_demo_backup.sql,.sql,134.72,2026-09-02 15:55:20
app\ai\__init__.py,.py,0.68,2026-09-08 17:16:34
app\db\base.py,.py,0.07,2026-08-20 17:20:04
app\db\init_db.py,.py,1.14,2026-08-20 19:27:46
app\db\session.py,.py,0.42,2026-08-20 17:46:50
app\db\__init__.py,.py,0.17,2026-08-28 15:27:49
app\executors\linux_executor.py,.py,2.84,2026-08-17 17:38:18
app\executors\result_models.py,.py,0.28,2026-06-07 17:38:54
app\executors\windows_executor.py,.py,2.16,2026-07-01 14:08:43
app\executors\__init__.py,.py,0.0,2026-06-02 15:57:37
app\knowledge\__init__.py,.py,0.68,2026-09-08 17:17:00
app\models\ai_request.py,.py,0.78,2026-09-08 17:01:33
app\models\ai_response.py,.py,0.76,2026-09-08 17:02:28
app\models\audit.py,.py,1.23,2026-08-31 14:29:54
app\models\catalogue.py,.py,1.13,2026-08-31 18:39:12
app\models\catalogue_constants.py,.py,0.19,2026-08-31 18:15:51
app\models\execution_plan.py,.py,1.26,2026-09-08 17:02:59
app\models\job.py,.py,3.16,2026-09-08 16:18:38
app\models\knowledge_article.py,.py,0.89,2026-09-08 16:21:12
app\models\knowledge_chunk.py,.py,1.1,2026-09-08 16:21:40
app\models\ledger.py,.py,2.34,2026-08-28 19:34:53
app\models\security.py,.py,6.03,2026-08-30 18:27:48
app\models\sop_repository.py,.py,0.93,2026-09-08 16:19:22
app\models\__init__.py,.py,1.28,2026-09-08 17:07:03
app\queue\job_queue.py,.py,0.51,2026-07-29 15:31:39
app\queue\__init__.py,.py,0.0,2026-06-05 10:39:54
app\routes\catalogue_api.py,.py,2.29,2026-08-31 18:23:16
app\routes\dashboard.py,.py,0.97,2026-08-20 17:47:40
app\routes\jobs.py,.py,17.62,2026-09-01 11:57:35
app\routes\ledger_api.py,.py,3.34,2026-08-31 15:07:18
app\routes\monitor_api.py,.py,1.95,2026-07-21 19:18:16
app\routes\__init__.py,.py,0.0,2026-05-29 14:34:54
app\schemas\job_create.py,.py,3.4,2026-08-31 19:58:14
app\services\audit_service.py,.py,1.06,2026-08-27 13:03:06
app\services\authorization_service.py,.py,2.95,2026-08-28 16:19:45
app\services\catalogue_rules.py,.py,0.36,2026-08-31 19:37:53
app\services\catalogue_service.py,.py,0.92,2026-08-31 19:03:56
app\services\credential_provider.py,.py,0.5,2026-06-21 19:42:29
app\services\execution_policy.py,.py,2.51,2026-08-30 19:45:53
app\services\execution_service.py,.py,7.51,2026-08-31 14:41:29
app\services\job_lifecycle.py,.py,1.66,2026-08-20 17:47:40
app\services\job_service.py,.py,1.45,2026-08-31 19:38:43
app\services\ledger_service.py,.py,3.39,2026-08-28 19:24:44
app\services\__init__.py,.py,0.0,2026-06-02 11:04:30
app\tasks\execution_tasks.py,.py,3.01,2026-09-08 17:11:38
app\tasks\orchestration_tasks.py,.py,2.69,2026-09-08 17:08:26
app\tasks\planning_tasks.py,.py,2.44,2026-09-08 17:09:19
app\tasks\__init__.py,.py,0.0,2026-07-14 15:08:06
app\workers\celery_worker.py,.py,0.27,2026-07-20 19:08:05
alembic\versions\0001_create_jobs_and_job_steps.py,.py,2.53,2026-06-01 15:13:23
alembic\versions\0002_extend_job_status_lifecycle.py,.py,1.02,2026-06-02 11:51:23
alembic\versions\003_add_execution_fields.py,.py,1.25,2026-06-05 16:23:49
alembic\versions\004_add_workflow_ready_fields.py,.py,0.97,2026-06-15 18:29:32
alembic\versions\005_add_final_failed_final_statu.py,.py,0.68,2026-06-23 18:52:51
alembic\versions\006_add_target_port_connection_method.py,.py,0.79,2026-08-17 15:36:41
alembic\versions\007_authorization_foundation_and_request_.py,.py,3.21,2026-08-20 19:24:11
alembic\versions\008_28c39c6ee0ba_audit_foundation.py,.py,2.61,2026-08-28 12:51:49
alembic\versions\009_861e52f4c182_minimum_decision_ledger.py,.py,2.96,2026-08-28 19:35:06
alembic\versions\010_4d02e3285388_add_service_account_credentials_table.py,.py,1.47,2026-08-30 19:03:38
alembic\versions\011_a809fac38d62_update_audit_fields.py,.py,1.65,2026-08-31 18:35:14
alembic\versions\012_9a91edbf6e39_create_software_catalogue.py,.py,2.41,2026-08-31 19:02:12
alembic\versions\013_255cda0c3fd2_add_notes_to_jobs.py,.py,0.77,2026-09-01 12:41:54
alembic\versions\014_20260908_phase4_slice1_foundation.py,.py,8.31,2026-09-08 17:20:41
